"centerLong","centerLat","cluster"
-93.25244,44.94044,4
-93.29637,44.94836,1
-93.27791,44.93502,1
-93.27719,44.96395,1
-93.27429,44.98078,2
-93.30498,44.94957,1
-93.27593,44.96521,1
-93.26114,44.98137,2
-93.26312,44.97236,2
-93.28816,44.94211,1
-93.21044,44.96999,2
-93.27179,44.97736,2
-93.22433,44.93867,4
-93.31333,44.99789,3
-93.31925,44.94795,1
-93.25551,44.96003,2
-93.26312,44.97236,2
-93.31592,44.98953,3
-93.29317,44.95099,1
-93.26763,44.94047,1
-93.26438,44.93235,4
-93.22692,44.98482,2
-93.26264,44.94567,1
-93.29702,45.02859,3
-93.31822,45.05033,3
-93.28637,44.90652,4
-93.28893,45.04842,3
-93.24046,44.96274,2
-93.28547,44.96001,1
-93.28991,45.01491,3
-93.29637,44.94836,1
-93.25818,44.96842,2
-93.21595,44.98605,2
-93.26502,44.92784,4
-93.21777,44.90627,4
-93.2843,44.94382,1
-93.28952,45.00086,3
-93.29691,44.96182,1
-93.28952,45.00086,3
-93.27754,44.89561,4
-93.28133,44.95134,1
-93.31389,44.95032,1
-93.26779,44.8934,4
-93.27189,44.9841,2
-93.32694,44.94782,1
-93.23816,44.94836,4
-93.29271,45.03936,3
-93.28953,45.01132,3
-93.23472,44.95108,4
-93.29896,44.94472,1
-93.26271,44.90066,4
-93.26765,44.96848,2
-93.21398,44.90266,4
-93.27042,44.9876,2
-93.30835,44.97274,1
-93.27663,44.94225,1
-93.31076,45.0015,3
-93.26839,44.94835,1
-93.24871,44.98758,2
-93.2652,44.94751,1
-93.23311,44.94927,4
-93.23617,44.98,2
-93.27644,44.9776,2
-93.25248,44.94563,4
-93.26765,44.96452,1
-93.21078,44.94834,4
-93.20503,44.9063,4
-93.27793,44.92597,4
-93.25965,44.96001,2
-93.22146,44.97217,2
-93.28082,44.91238,4
-93.25314,44.94836,4
-93.22293,44.95469,2
-93.27179,44.97736,2
-93.26504,44.92604,4
-93.29243,44.96987,1
-93.23715,44.95264,4
-93.28558,44.94382,1
-93.21991,44.92513,4
-93.30669,45.00409,3
-93.22557,44.98874,2
-93.28569,44.92772,1
-93.28301,44.98422,2
-93.29367,44.94891,1
-93.2625,44.93488,4
-93.30004,45.02402,3
-93.31569,45.05033,3
-93.2355,44.98425,2
-93.23587,45.01049,2
-93.29944,44.99228,3
-93.23854,44.96275,2
-93.23297,44.96594,2
-93.30336,44.94881,1
-93.28302,44.94747,1
-93.2537,44.94045,4
-93.29189,44.95099,1
-93.24736,45.00741,2
-93.24734,45.01586,3
-93.27968,44.94954,1
-93.29073,44.9404,1
-93.23211,44.9296,4
-93.27403,44.96458,1
-93.29267,45.03757,3
-93.28804,44.95463,1
